disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Hyperlipidemia,Anxiety,suppressed,11268,,,,0.96,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Stroke Cerebrovascular,suppressed,13164,,,,0.76,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Heart Failure,suppressed,13340,,,,1.16,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Atrial Fibrillation,suppressed,13266,,,,1.73,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Peripheral Vascular Disease,suppressed,13318,,,,0.59,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,COPD,suppressed,11601,,,,1.03,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Chronic Kidney Disease,suppressed,13171,,,,0.8,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Chronic Liver Disease,suppressed,13146,,,,0.76,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Depression,suppressed,12441,,,,1.01,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Substance Use Disorder,suppressed,13152,,,,1.04,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Osteoarthritis,suppressed,12624,,,,2.96,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Hypothyroidism,suppressed,13212,,,,0.36,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Sleep Apnea,suppressed,13257,,,,1.64,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Lung,suppressed,13349,,,,0.24,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Colorectal,suppressed,13312,,,,0.29,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Prostate,suppressed,13301,,,,0.57,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Other,suppressed,12935,,,,0.97,,,,,,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Anxiety,suppressed,13174,,,,1.23,,,,,,,,,,,,
